Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.845163292,0,,0.845163292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.845774708,1,,0.000611416,,611.416,,611,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.863690167,0,,0.017915459,,17915.459,,17915,,"611,17915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8667195,1,,0.003029333,,3029.333,,3029,,"611,17915,3029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.875665292,0,,0.008945792,,8945.792,,8945,,"611,17915,3029,8945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.876196208,1,,0.000530916,,530.916,,530,,"611,17915,3029,8945,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.876656,0,,0.000459792,,459.792,,459,,"611,17915,3029,8945,530,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.877197,1,,0.000541,,541,,541,,"611,17915,3029,8945,530,459,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.878653167,0,,0.001456167,,1456.167,,1456,,"611,17915,3029,8945,530,459,541,1456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8791885,1,,0.000535333,,535.333,,535,,"611,17915,3029,8945,530,459,541,1456,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.87964475,0,,0.00045625,,456.25,,456,,"611,17915,3029,8945,530,459,541,1456,535,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.880184,1,,0.00053925,,539.25,,539,,"611,17915,3029,8945,530,459,541,1456,535,456,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.880640583,0,,0.000456583,,456.583,,456,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.881180208,1,,0.000539625,,539.625,,539,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.881595833,0,,0.000415625,,415.625,,415,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.882177458,1,,0.000581625,,581.625,,581,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.882633208,0,,0.00045575,,455.75,,455,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.883171458,1,,0.00053825,,538.25,,538,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.883631958,0,,0.0004605,,460.5,,460,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.884167667,1,,0.000535709,,535.709,,535,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.884588875,0,,0.000421208,,421.208,,421,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8851665,1,,0.000577625,,577.625,,577,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.885587917,0,,0.000421417,,421.417,,421,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.886162542,1,,0.000574625,,574.625,,574,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.887626333,0,,0.001463791,,1463.791,,1463,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421,574,1463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.888155083,1,,0.00052875,,528.75,,528,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421,574,1463,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.888643083,0,,0.000488,,488,,487,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421,574,1463,528,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889151375,1,,0.000508292,,508.292,,508,,"611,17915,3029,8945,530,459,541,1456,535,456,539,456,539,415,581,455,538,460,535,421,577,421,574,1463,528,487,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
