Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78781425,1,,0.000495542,,49.5542,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.788314542,0,,0.000500292,,50.0292,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.788809833,1,,0.000495291,,49.5291,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.789314,0,,0.000504167,,50.4167,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.789808458,1,,0.000494458,,49.4458,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.791307875,0,,0.001499417,,149.9417,,149,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.791798458,1,,0.000490583,,49.0583,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.792298625,0,,0.000500167,,50.0167,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.792795292,1,,0.000496667,,49.6667,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.793322042,0,,0.00052675,,52.675,,52,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.793789958,1,,0.000467916,,46.7916,,46,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.795315125,0,,0.001525167,,152.5167,,152,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.795755292,1,,0.000440167,,44.0167,,44,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.797307417,0,,0.001552125,,155.2125,,155,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.797769417,1,,0.000462,,46.2,,46,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.799299792,0,,0.001530375,,153.0375,,153,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.799763542,1,,0.00046375,,46.375,,46,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.801292042,0,,0.0015285,,152.85,,152,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.801788292,1,,0.00049625,,49.625,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.803284333,0,,0.001496041,,149.6041,,149,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.803779208,1,,0.000494875,,49.4875,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.804280292,0,,0.000501084,,50.1084,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.804775083,1,,0.000494791,,49.4791,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.805276667,0,,0.000501584,,50.1584,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.805772125,1,,0.000495458,,49.5458,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.806272958,0,,0.000500833,,50.0833,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.806766458,1,,0.0004935,,49.35,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8072695,0,,0.000503042,,50.3042,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49,50,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.807762833,1,,0.000493333,,49.3333,,49,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49,50,49,50,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.808267,0,,0.000504167,,50.4167,,50,,"57,1793,296,901,47,52,44,155,46,53,46,53,49,49,50,49,49,49,49,49,52,44,52,149,49,50,49,50,49,149,49,50,49,52,46,152,44,155,46,153,46,152,49,149,49,50,49,50,49,50,49,50,49,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
