Time [s],CLK,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,
1.361494667,0,,,0.001501125,,1501.125,,1501,1,,"1501,1",,,,,,,"{1501,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1}",,,1501,
1.361987583,1,,,0.000492916,,492.916,,493,0,,"493,0",,,,,,,"{493,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0}",,,493,
1.362510417,0,,,0.000522834,,522.834,,523,1,,"523,1",,,,,,,"{523,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1}",,,523,
1.362983167,1,,,0.00047275,,472.75,,473,0,,"473,0",,,,,,,"{473,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0}",,,473,
1.3635065,0,,,0.000523333,,523.333,,523,1,,"523,1",,,,,,,"{523,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1}",,,523,
1.363971,1,,,0.0004645,,464.5,,465,0,,"465,0",,,,,,,"{465,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0}",,,465,
1.365497792,0,,,0.001526792,,1526.792,,1527,1,,"1527,1",,,,,,,"{1527,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1}",,,1527,
1.365966417,1,,,0.000468625,,468.625,,469,0,,"469,0",,,,,,,"{469,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0}",,,469,
1.367491125,0,,,0.001524708,,1524.708,,1525,1,,"1525,1",,,,,,,"{1525,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0},{1525,1}",,,1525,
1.367982667,1,,,0.000491542,,491.542,,492,0,,"492,0",,,,,,,"{492,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0},{1525,1},{492,0}",,,492,
1.368486875,0,,,0.000504208,,504.208,,504,1,,"504,1",,,,,,,"{504,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0},{1525,1},{492,0},{504,1}",,,504,
1.368982792,1,,,0.000495917,,495.917,,496,0,,"496,0",,,,,,,"{496,0}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0},{1525,1},{492,0},{504,1},{496,0}",,,496,
1.370479042,0,,,0.00149625,,1496.25,,1496,1,,"1496,1",,,,,,,"{1496,1}","{0,577},{17781,1},{2996,0},{8979,1},{499,0},{424,1},{546,0},{1519,1},{499,0},{497,1},{497,0},{499,1},{498,0},{498,1},{498,0},{499,1},{497,0},{499,1},{496,0},{502,1},{495,0},{504,1},{493,0},{1501,1},{493,0},{523,1},{473,0},{523,1},{465,0},{1527,1},{469,0},{1525,1},{492,0},{504,1},{496,0},{1496,1}",,,1496,
